gender;age;daily_screen_time_hours;phone_usage_hours;laptop_usage_hours;tablet_usage_hours;tv_usage_hours;social_media_hours;work_related_hours;entertainment_hours;gaming_hours;sleep_duration_hours;physical_activity_hours_per_week;location_type;mental_health_score;stress_level;mood_rating
2;26;5.9;0.8;1.9;0.3;2.6;4.5;4.0;1.9;0.9;7.4;0.4;2;51.0;9;1.5
1;72;3.2;1.4;0.6;0.3;2.1;2.1;2.9;2.2;1.6;7.1;2.5;0;76.0;3;8.2
1;36;1.0;1.3;0.0;0.2;0.0;2.3;3.1;2.4;1.8;8.4;5.1;2;75.0;3;7.4
0;58;3.0;1.9;0.0;0.3;1.9;2.2;2.9;2.7;1.8;7.4;3.5;2;82.0;3;8.4
0;39;7.2;1.9;3.5;1.3;2.0;4.1;4.3;1.4;1.7;6.6;2.3;1;58.0;7;2.0
1;63;6.8;2.7;1.2;1.6;2.3;4.5;4.4;1.8;0.7;7.6;0.0;1;54.0;8;2.8
1;41;2.9;2.0;0.3;0.0;1.6;4.3;3.8;1.8;1.3;7.3;0.9;2;62.0;7;2.7
1;73;2.2;2.3;0.2;0.1;0.6;0.4;1.2;2.7;2.9;7.8;5.8;2;84.0;1;10.0
1;56;3.7;2.4;1.7;0.0;1.0;1.5;2.5;2.3;2.3;8.2;5.2;2;89.0;2;6.6
0;42;5.6;2.2;1.1;0.6;2.6;4.5;3.8;2.0;0.8;7.9;2.0;0;55.0;8;2.2
0;74;3.5;2.6;0.0;0.3;1.8;2.7;3.3;1.7;1.7;7.7;5.5;1;79.0;4;5.5
1;30;4.9;1.9;2.5;0.8;0.1;3.6;3.3;1.6;1.1;6.8;2.5;2;65.0;5;4.0
1;29;9.1;3.5;1.9;1.0;3.1;4.5;3.7;1.3;0.8;6.7;1.0;2;39.0;10;1.3
1;61;10.0;4.3;3.5;0.9;2.6;4.5;4.1;0.1;1.5;7.9;0.8;2;45.0;10;1.0
1;65;7.3;2.6;2.8;0.0;3.1;2.7;3.4;1.3;2.4;7.6;4.6;2;73.0;4;5.4
0;58;4.6;2.2;0.0;0.6;2.5;4.4;3.8;1.4;1.0;7.3;1.4;1;63.0;8;1.8
2;69;5.2;2.6;3.1;0.0;0.5;2.6;3.5;1.5;1.2;6.7;6.1;2;84.0;4;5.5
0;66;6.2;1.0;2.8;1.6;1.7;4.4;3.5;1.5;1.5;6.3;2.6;2;60.0;8;2.4
1;71;4.3;2.2;0.7;0.4;2.0;2.1;2.9;2.2;2.3;8.1;3.0;1;64.0;3;6.8
0;17;3.1;1.3;1.0;0.0;0.1;3.7;3.8;1.4;1.6;8.2;3.4;2;69.0;6;3.5
0;51;4.1;2.5;2.0;0.3;0.2;1.7;2.1;2.5;2.3;7.5;4.4;2;76.0;2;9.0
0;65;3.4;1.3;0.4;0.7;2.1;2.9;3.5;2.4;2.1;7.3;2.9;2;72.0;4;5.9
1;21;6.8;1.7;1.2;1.0;2.2;2.8;3.6;1.6;1.6;7.7;4.5;1;66.0;4;6.5
1;35;7.3;0.3;2.6;1.4;3.8;4.5;4.0;0.4;0.8;6.3;0.0;1;46.0;10;1.0
1;23;5.7;0.9;2.1;0.6;1.1;4.5;3.8;1.1;0.6;8.3;0.0;2;48.0;10;1.0
1;53;2.6;2.3;0.8;0.4;0.0;0.8;1.1;2.7;2.7;8.1;7.6;1;89.0;1;8.6
1;32;5.6;1.2;2.6;1.0;1.2;4.1;3.9;2.9;1.8;6.7;1.7;1;60.0;7;4.3
1;18;9.0;3.0;1.8;1.0;2.2;3.1;3.5;1.3;1.7;7.3;4.9;2;63.0;5;5.7
0;39;3.5;1.1;1.8;0.7;1.0;2.6;3.4;1.9;1.4;7.2;2.2;1;61.0;4;4.0
0;74;5.1;2.4;0.9;1.1;1.5;3.7;4.0;1.6;1.1;6.7;2.1;2;53.0;6;4.5
1;28;3.6;1.3;1.5;0.2;0.8;1.1;1.4;3.0;3.3;8.0;3.7;1;75.0;1;10.0
1;64;5.0;2.3;0.6;0.6;2.6;3.5;3.8;1.5;1.3;6.9;1.3;2;62.0;7;3.6
0;72;1.4;0.6;0.0;0.0;2.1;1.0;1.4;3.2;2.9;7.2;8.1;2;91.0;1;7.9
0;23;5.5;1.6;1.2;1.4;0.6;4.5;4.0;0.7;1.0;7.6;2.0;0;53.0;10;1.0
0;40;2.7;1.2;1.4;0.3;0.9;2.4;3.5;2.8;1.4;7.6;1.6;2;61.0;4;6.5
2;67;5.8;2.8;1.7;1.4;0.7;1.6;2.4;2.1;3.3;7.8;4.0;1;74.0;2;7.2
0;16;6.3;2.4;2.8;0.2;0.0;3.5;4.2;1.2;1.0;7.1;4.6;2;61.0;6;4.2
2;34;2.2;0.9;0.8;0.8;0.6;1.5;2.4;1.8;3.0;7.5;3.0;1;79.0;2;9.3
1;42;2.3;1.8;1.1;0.6;0.0;2.2;3.2;3.1;2.1;6.7;7.3;1;81.0;3;7.5
1;61;5.4;1.3;2.3;0.2;2.3;4.5;3.7;1.5;0.5;7.6;1.0;0;56.0;9;1.0
1;74;5.8;2.9;0.7;0.9;2.4;4.4;4.1;2.0;1.2;7.3;1.3;2;55.0;8;3.5
1;21;8.3;3.1;1.7;1.4;1.1;4.5;3.9;1.1;1.8;7.5;0.0;2;66.0;9;1.0
1;58;3.9;0.7;1.1;1.7;1.6;2.0;3.1;1.9;2.0;7.9;3.0;0;78.0;3;7.3
0;22;8.3;2.7;1.2;1.0;2.5;4.1;3.9;2.3;0.9;7.2;2.0;0;55.0;7;1.4
0;61;4.8;1.3;2.3;0.0;2.2;3.7;3.1;1.8;1.2;7.0;0.8;1;60.0;6;2.8
0;49;5.5;1.8;1.1;0.0;3.4;3.2;4.0;2.5;0.9;7.1;4.0;0;72.0;5;4.3
1;28;6.9;2.0;2.4;1.3;1.7;1.4;2.1;3.5;2.2;7.4;4.9;2;75.0;2;8.6
0;31;5.7;3.6;0.0;0.0;2.9;3.9;3.6;1.8;1.6;7.3;3.8;0;59.0;7;3.4
0;50;2.7;1.1;0.0;1.0;1.5;0.9;1.2;3.1;2.6;8.4;6.0;0;82.0;1;8.8
1;64;3.5;2.8;0.0;0.7;1.3;2.4;3.2;0.9;1.2;8.2;2.8;1;71.0;4;7.0
0;54;3.9;0.9;0.2;1.4;2.1;1.6;2.2;2.7;2.3;7.4;3.5;0;81.0;2;8.0
1;18;8.2;0.9;3.5;0.9;2.0;4.5;4.0;0.6;1.1;7.0;0.0;1;36.0;10;1.0
1;16;5.7;2.0;1.5;0.6;0.8;4.3;4.0;1.6;1.0;6.8;2.9;2;55.0;8;3.3
0;20;5.6;2.0;0.7;1.8;0.6;4.5;3.9;0.8;1.7;7.2;0.8;2;53.0;10;1.0
1;68;4.1;0.2;2.4;1.1;1.5;2.6;3.4;1.7;2.7;7.9;3.1;2;82.0;4;5.3
1;56;5.3;3.0;2.5;0.9;0.0;4.5;3.9;1.9;1.2;7.1;0.0;0;49.0;9;1.0
0;18;2.6;0.2;0.2;0.2;1.1;4.1;3.8;1.7;1.6;7.5;0.9;1;59.0;7;3.0
0;68;5.5;1.9;4.2;0.0;0.4;4.0;3.9;1.1;1.3;6.7;1.0;2;63.0;6;5.4
1;43;5.5;3.2;1.8;0.4;0.8;1.2;2.7;2.6;1.7;7.0;4.1;2;87.0;2;8.4
1;32;6.0;4.0;1.9;0.0;0.6;4.0;3.9;1.4;0.4;7.6;4.8;0;64.0;6;4.4
1;40;5.1;1.7;2.0;0.4;2.2;2.2;3.5;2.5;1.9;7.2;4.9;2;82.0;3;8.0
0;58;4.5;0.7;2.0;1.1;1.8;2.2;2.4;1.9;1.7;6.8;3.7;1;81.0;3;8.6
1;48;5.5;3.2;0.8;1.2;1.5;3.9;3.8;1.9;0.7;7.4;1.0;1;64.0;7;3.5
1;24;8.2;2.8;3.8;0.4;1.0;4.5;3.8;1.0;0.5;7.0;0.0;2;45.0;10;1.0
0;50;6.2;1.6;1.2;2.4;2.4;4.5;4.2;1.8;1.8;7.8;2.3;2;61.0;8;2.0
0;28;7.8;1.4;2.6;1.4;2.3;4.5;4.1;0.8;1.8;6.9;0.0;2;56.0;9;1.4
1;45;3.6;1.4;1.0;0.6;1.3;2.1;3.0;1.9;2.3;7.1;2.5;2;76.0;3;8.0
0;62;5.4;1.7;0.8;1.3;2.8;4.5;4.1;1.8;0.7;7.8;0.0;2;45.0;8;1.5
0;29;6.9;2.3;3.6;0.3;1.2;4.1;4.2;1.4;1.3;6.7;6.7;0;65.0;7;3.0
1;22;6.0;1.5;1.4;0.8;1.6;3.6;3.7;2.0;1.2;6.6;4.7;2;58.0;7;2.4
1;28;4.0;1.6;1.5;0.4;0.8;1.8;2.2;2.5;2.7;7.0;5.1;0;84.0;2;8.7
0;37;4.7;2.6;1.8;0.0;1.0;4.3;3.8;2.2;0.9;7.1;2.0;2;61.0;7;2.9
1;74;5.6;0.7;4.4;0.9;0.8;1.4;2.4;2.0;1.8;6.4;5.8;0;78.0;2;8.4
0;71;6.8;1.7;3.9;0.6;2.1;2.1;3.1;2.7;2.0;6.3;3.5;0;78.0;3;5.0
1;54;4.8;0.5;2.9;0.6;1.8;4.5;4.0;1.2;1.0;7.8;0.2;2;51.0;9;1.0
1;35;6.5;2.1;4.6;0.6;0.3;3.6;3.7;1.5;1.5;7.1;3.5;2;70.0;5;5.8
1;30;2.6;0.3;0.5;0.1;2.0;1.5;2.5;2.5;2.0;7.6;3.8;2;79.0;2;7.2
1;59;8.7;2.8;2.2;1.6;3.2;3.8;3.9;1.8;1.1;6.8;4.3;1;66.0;6;3.0
1;32;3.3;0.8;1.6;0.7;0.7;1.1;1.2;1.8;2.9;7.9;6.1;2;85.0;1;8.1
1;61;1.0;0.4;0.0;0.4;0.7;1.0;1.4;2.5;2.7;7.5;6.1;2;89.0;1;9.2
0;67;4.2;1.7;2.0;0.0;1.4;3.3;3.6;0.8;1.7;7.7;2.3;2;68.0;5;4.5
2;38;7.7;3.5;1.0;1.4;2.8;4.5;4.0;0.8;0.5;7.1;1.2;2;52.0;10;1.0
0;40;7.0;2.6;3.2;1.2;1.0;4.5;4.4;0.8;1.5;6.6;0.2;2;51.0;10;1.0
0;39;3.9;0.3;1.1;0.6;3.2;2.4;2.8;2.4;1.7;7.8;8.4;2;90.0;3;7.7
1;74;1.2;0.8;1.0;0.0;0.3;0.8;1.3;3.1;2.9;7.9;5.0;1;80.0;1;8.6
2;74;7.2;1.6;3.2;1.6;1.6;3.6;3.8;1.4;1.3;6.6;2.8;1;60.0;6;3.7
1;74;4.9;4.0;1.4;0.4;0.0;4.5;4.2;0.9;0.6;6.9;0.0;2;48.0;8;1.2
0;59;3.6;1.2;2.8;0.2;0.5;1.1;1.8;2.6;2.3;7.8;3.9;2;81.0;1;9.4
2;55;4.1;1.2;2.0;0.6;1.2;3.0;3.6;1.0;1.5;8.0;1.9;2;73.0;4;7.8
0;43;7.0;3.4;2.0;0.8;1.7;3.2;3.7;0.7;1.6;7.3;2.0;2;57.0;5;5.6
2;29;6.4;2.2;1.2;0.5;2.6;4.5;4.1;0.6;1.5;7.7;0.1;1;42.0;10;1.0
0;59;4.7;2.9;2.1;0.0;0.7;2.1;2.9;1.4;2.4;8.0;4.3;2;73.0;3;8.0
1;15;5.8;1.3;1.4;0.7;1.8;4.5;4.1;0.4;1.3;7.2;0.0;1;48.0;10;1.0
1;39;2.8;1.9;0.6;1.2;0.1;0.9;1.5;2.8;3.0;7.7;4.0;2;88.0;1;8.8
0;21;7.5;3.2;1.4;0.1;2.4;4.5;4.3;1.0;0.9;7.4;1.3;2;46.0;9;1.0
1;23;9.4;1.9;2.9;1.5;2.7;4.5;3.9;1.6;0.7;6.2;1.5;1;56.0;9;1.5
0;38;7.6;3.0;2.1;1.1;2.4;4.5;4.1;1.9;1.1;7.5;0.9;1;64.0;8;2.0
2;15;9.1;2.3;2.3;0.9;2.4;4.5;3.7;0.9;1.9;7.6;0.8;1;52.0;10;1.0
1;58;3.1;1.1;1.5;0.0;1.3;2.1;2.9;1.9;2.0;7.3;5.7;1;73.0;3;7.2
0;22;5.1;2.0;0.0;0.8;1.7;4.4;3.9;1.7;1.1;8.8;2.0;2;48.0;8;3.8
0;38;4.5;2.9;0.2;0.8;1.3;3.8;4.1;2.2;1.4;7.8;2.0;2;67.0;6;4.0
0;25;6.1;2.6;1.2;0.6;1.4;4.5;3.4;1.8;1.0;7.2;2.8;2;62.0;8;2.2
2;65;3.2;2.0;0.3;1.1;0.7;1.7;2.7;2.4;2.8;6.6;3.0;0;77.0;2;9.8
0;31;2.7;0.3;0.9;0.4;1.7;0.9;1.0;2.6;2.4;7.6;4.9;2;93.0;1;10.0
2;22;3.8;0.4;0.9;0.4;1.8;2.8;3.4;1.7;2.7;7.7;3.4;2;60.0;4;6.9
0;49;3.2;0.6;0.9;0.2;2.4;2.1;3.4;2.1;1.9;7.8;8.8;1;85.0;3;8.8
1;49;5.3;1.5;3.1;0.3;1.8;2.3;2.5;2.2;2.6;6.7;5.3;0;82.0;3;6.1
1;47;4.7;1.7;1.4;0.5;2.3;1.9;2.1;1.8;3.2;7.1;4.0;2;83.0;2;10.0
0;73;3.4;0.7;2.5;0.5;0.7;1.4;2.5;3.0;1.9;7.9;2.6;1;75.0;2;9.0
1;19;8.4;2.9;1.7;0.5;2.8;4.5;3.6;1.6;1.0;7.3;0.6;2;51.0;8;3.3
0;56;5.4;0.9;3.1;1.2;1.2;3.0;3.9;2.1;2.1;7.8;4.0;2;78.0;4;6.7
0;53;3.9;0.8;2.6;1.5;0.0;3.1;3.6;0.5;1.7;7.6;3.7;2;70.0;5;4.2
1;72;2.8;2.1;0.8;0.0;1.0;0.9;1.3;1.9;2.6;7.7;4.5;1;86.0;1;7.2
0;55;9.1;2.9;3.7;1.5;2.0;4.5;4.0;1.3;1.3;7.1;1.3;0;47.0;10;1.0
0;42;6.3;3.8;1.0;1.0;1.5;3.1;3.6;1.5;0.8;7.2;3.5;2;63.0;5;4.4
0;21;4.6;2.5;1.7;0.1;0.0;4.5;4.2;1.4;1.2;6.7;0.9;1;61.0;8;1.3
1;23;7.9;3.4;1.9;0.4;1.6;4.5;3.7;0.6;1.2;7.7;0.1;0;46.0;10;1.0
1;22;5.3;0.9;2.0;0.8;1.5;4.5;3.9;0.8;1.1;7.8;0.0;2;45.0;10;1.0
1;26;7.3;3.9;2.4;0.0;0.4;4.5;4.0;2.2;0.8;7.3;2.2;2;52.0;9;1.0
0;48;2.6;0.3;0.7;0.5;2.0;0.6;1.2;1.5;2.7;7.0;3.8;2;80.0;1;7.5
1;47;5.3;1.5;2.3;0.9;1.3;4.5;3.6;0.8;0.6;7.8;0.0;2;44.0;9;1.0
0;62;4.0;2.5;2.1;0.2;0.0;0.7;1.4;2.2;2.9;7.3;5.6;2;85.0;1;8.2
1;69;3.2;0.6;1.5;0.0;2.1;3.5;3.7;2.0;1.4;8.0;0.0;1;61.0;6;3.9
1;37;3.6;1.2;1.3;0.7;1.6;2.4;2.9;2.6;2.1;7.8;6.4;0;77.0;3;7.5
0;38;5.4;1.0;0.6;1.9;2.9;3.9;4.2;1.4;0.8;7.2;2.5;2;63.0;6;5.8
0;51;3.6;1.7;2.0;0.2;0.5;3.1;3.8;1.8;1.8;8.1;3.7;0;73.0;5;3.6
1;49;4.3;3.3;0.8;0.2;1.2;1.4;2.2;2.2;2.0;6.8;4.3;0;67.0;2;9.2
1;58;5.8;2.0;1.8;0.5;2.5;3.5;3.6;2.0;1.0;7.3;2.2;0;52.0;5;4.6
1;54;3.5;1.6;1.4;1.5;0.5;1.1;2.2;2.6;3.7;8.4;4.3;2;81.0;2;5.9
0;36;1.4;0.2;0.0;0.0;2.4;1.3;2.2;2.4;2.5;8.1;7.5;1;79.0;2;7.0
0;41;5.3;2.4;0.5;1.1;2.5;2.9;3.2;0.7;1.2;7.8;3.1;2;67.0;4;6.7
1;49;6.0;2.7;1.9;0.3;1.7;3.1;3.6;1.3;1.6;7.3;1.9;1;71.0;5;5.1
1;15;3.7;0.5;0.9;0.4;1.2;2.7;3.2;1.5;1.8;7.5;3.4;2;76.0;4;4.1
1;49;2.7;1.9;0.9;0.0;0.8;2.9;3.4;1.4;1.2;7.1;2.3;1;66.0;5;5.3
0;51;3.5;2.2;0.7;0.5;0.7;0.9;0.9;2.6;2.9;7.5;4.9;2;86.0;1;7.9
2;61;4.6;2.9;0.7;0.0;1.7;4.0;3.9;1.5;1.1;7.7;0.0;1;51.0;7;2.4
1;28;5.2;1.3;3.3;0.3;0.0;4.2;3.9;1.5;0.6;6.8;2.9;2;57.0;7;2.7
0;17;3.6;1.2;0.3;0.0;0.8;4.5;3.8;2.0;1.1;7.1;0.0;2;56.0;8;2.1
1;15;6.4;1.6;3.1;0.0;0.7;4.5;4.1;0.6;0.9;7.4;0.8;1;51.0;9;1.7
1;19;6.4;3.2;1.1;0.8;0.4;3.9;3.4;1.1;1.2;7.7;3.1;2;65.0;6;4.3
0;40;5.7;2.9;0.8;1.4;1.6;2.8;3.0;1.5;1.7;8.3;4.6;2;68.0;4;7.0
0;69;5.5;2.0;1.9;2.5;0.0;2.3;3.0;1.7;1.9;7.1;3.5;2;76.0;3;7.4
0;28;8.3;2.9;1.6;1.2;2.6;4.2;4.0;1.8;1.2;6.8;1.6;2;55.0;8;2.2
0;53;3.5;0.2;1.3;0.3;2.3;2.8;3.3;1.3;1.8;8.0;1.7;2;70.0;4;5.6
1;41;6.3;2.7;1.7;0.0;2.8;4.0;4.0;1.4;0.6;7.5;0.0;0;48.0;7;2.3
0;23;4.6;1.0;1.5;0.9;0.9;3.8;3.9;1.8;1.4;7.3;1.1;0;55.0;6;5.2
1;29;6.4;3.6;1.3;0.0;1.6;4.4;4.3;1.9;1.3;7.2;1.1;2;64.0;8;1.4
0;29;5.7;1.0;2.5;0.1;2.2;4.3;3.7;1.6;0.1;7.0;0.0;1;45.0;7;4.8
1;40;2.4;1.2;0.0;1.1;1.3;4.1;3.8;1.6;0.0;7.1;0.9;1;59.0;8;3.0
0;56;3.4;2.5;0.5;0.8;0.8;1.0;1.3;2.3;2.7;7.5;5.8;1;83.0;1;10.0
1;74;3.9;2.6;0.6;0.0;1.5;1.0;1.4;3.0;2.6;8.3;6.6;1;86.0;1;8.3
1;27;3.0;1.6;0.3;0.0;1.2;2.2;2.6;2.1;2.3;7.3;4.0;2;72.0;3;8.0
0;65;3.8;2.3;1.6;0.7;0.3;2.8;3.4;1.9;1.4;6.8;2.4;2;61.0;4;7.9
1;46;4.2;2.4;2.1;0.8;0.0;4.5;4.0;1.3;1.1;7.0;0.0;2;54.0;9;2.1
0;53;3.5;2.4;0.0;1.5;0.5;1.8;2.2;2.4;2.7;7.8;4.9;2;78.0;2;10.0
1;63;1.9;1.6;1.0;0.0;0.0;3.1;3.8;0.9;1.9;8.0;6.5;2;77.0;4;6.5
1;66;4.0;2.5;1.1;0.7;0.5;2.7;3.4;1.2;1.4;8.1;4.7;0;76.0;4;7.4
1;46;7.4;3.3;1.2;1.2;2.8;4.5;3.8;1.5;1.0;7.6;1.3;1;62.0;8;2.6
1;18;2.4;0.9;0.1;0.3;0.0;1.5;2.6;1.8;2.2;7.9;3.6;1;79.0;2;6.6
0;44;3.4;1.2;1.2;0.0;1.8;3.3;3.6;1.1;1.5;7.9;3.7;2;73.0;5;6.2
1;51;4.3;2.0;0.5;0.0;2.6;3.2;3.6;1.5;1.6;7.1;3.3;2;67.0;5;4.3
0;37;1.9;1.0;1.1;0.6;0.0;1.7;2.3;1.9;2.9;8.1;3.9;1;68.0;2;6.6
0;53;2.8;0.4;0.0;0.3;3.2;3.3;3.9;1.8;1.3;7.6;3.5;1;73.0;5;4.7
1;59;5.0;3.0;1.1;0.8;1.3;2.1;2.9;2.8;2.5;7.8;3.1;1;73.0;3;7.4
0;29;4.8;0.2;0.7;1.4;2.8;2.1;2.8;2.1;2.5;7.6;3.9;2;64.0;3;6.5
0;57;4.1;1.6;1.2;0.4;1.7;4.5;3.7;1.1;1.0;7.3;0.0;1;49.0;9;2.2
0;43;5.4;2.7;1.8;1.3;0.9;4.3;3.9;1.9;0.8;6.7;0.6;0;46.0;8;1.1
1;50;2.9;2.2;1.5;0.5;0.0;1.4;2.4;2.7;2.4;7.4;4.1;2;78.0;2;8.4
1;27;4.7;1.7;2.4;0.8;0.3;4.5;3.9;1.4;1.3;7.5;0.8;1;57.0;8;1.9
0;46;3.4;1.0;1.1;0.5;2.1;3.0;3.3;1.5;1.8;7.2;5.2;2;72.0;4;5.9
0;21;8.6;2.3;2.2;0.8;2.9;4.3;3.8;1.4;0.6;6.8;1.3;2;55.0;8;2.5
0;73;3.7;1.1;2.7;0.9;0.0;0.7;1.6;3.0;2.7;8.1;5.3;0;83.0;1;9.8
1;65;5.0;2.2;1.8;1.0;1.3;0.9;1.1;2.2;2.3;7.9;4.7;2;90.0;1;9.3
0;36;4.4;2.1;1.5;0.6;1.0;3.9;3.4;1.7;1.1;7.7;1.5;0;63.0;6;4.9
1;42;4.9;2.1;2.0;0.0;1.8;2.2;3.0;2.1;2.8;8.0;6.4;0;73.0;3;7.4
0;16;6.1;1.4;1.8;1.0;1.5;4.5;4.3;1.5;1.6;6.6;2.7;0;51.0;9;3.2
1;56;6.4;3.8;2.6;0.0;1.0;4.5;4.1;0.6;0.9;7.9;0.0;2;44.0;10;1.0
0;59;5.9;2.3;2.4;0.2;2.0;4.5;4.0;1.1;1.1;6.6;0.7;2;48.0;9;1.0
1;71;4.3;1.7;2.4;0.0;0.7;2.8;3.6;1.9;2.1;7.5;3.7;1;66.0;4;6.4
1;67;5.8;2.2;1.5;1.6;1.4;3.7;3.7;1.0;0.9;6.9;1.9;1;56.0;6;2.6
0;20;6.5;1.3;1.9;0.9;2.2;4.5;3.8;0.5;2.3;7.6;1.3;0;47.0;10;1.0
1;42;3.8;1.7;1.9;0.4;0.7;3.2;3.6;0.4;0.8;6.8;3.1;2;65.0;5;5.2
1;42;5.9;4.2;0.2;1.5;1.0;4.5;4.1;2.2;1.2;6.4;2.4;2;64.0;8;1.0
1;58;4.9;1.3;2.7;0.9;0.8;4.5;3.8;1.5;0.9;7.1;1.3;0;64.0;8;2.5
0;58;4.2;1.9;0.0;0.7;1.9;3.4;3.5;1.4;1.5;7.1;2.6;0;71.0;5;5.6
0;34;5.4;1.6;2.3;0.8;1.7;4.5;3.9;1.9;1.2;7.0;0.0;1;55.0;8;1.5
1;44;3.0;1.1;1.8;0.4;0.9;0.7;1.5;2.5;2.7;7.3;5.7;1;85.0;1;10.0
0;25;5.7;2.4;1.2;0.0;1.7;4.5;4.0;0.5;0.6;7.6;2.5;2;56.0;10;1.0
0;72;4.6;2.0;1.9;1.2;0.0;3.1;3.7;1.4;1.2;7.4;7.8;0;78.0;5;4.7
1;69;6.8;2.8;2.0;0.6;2.2;3.1;3.6;1.9;0.5;7.9;1.0;2;64.0;6;4.9
0;42;4.0;2.7;0.1;0.0;2.3;4.0;3.7;1.5;1.0;7.6;3.1;2;55.0;6;4.9
0;39;6.9;2.8;3.1;0.9;0.9;2.8;3.2;1.7;1.8;7.6;4.0;1;81.0;4;6.6
0;53;3.5;1.2;1.6;0.6;0.7;3.1;3.1;1.4;2.0;7.9;2.7;1;66.0;4;5.7
1;47;8.3;2.6;4.0;1.6;1.3;4.5;3.7;1.5;0.7;6.5;1.5;1;56.0;8;1.0
0;15;7.0;2.6;2.4;0.8;0.5;3.4;3.8;1.9;1.5;6.8;3.9;0;68.0;5;4.2
0;71;2.3;1.1;1.6;0.0;0.6;0.8;1.3;2.2;2.5;8.2;4.5;1;76.0;1;9.6
1;41;3.2;1.7;0.7;0.0;1.7;2.3;3.0;1.9;2.3;6.7;5.9;2;75.0;3;8.3
1;71;5.0;0.7;1.4;1.4;2.2;2.2;2.8;2.8;2.0;7.6;8.3;0;82.0;3;8.1
1;66;5.5;2.6;1.7;0.6;1.7;4.3;3.8;1.7;1.3;7.2;7.9;2;65.0;7;4.6
